2026-03-13 23:30:36.851 | INFO     | app.middleware.logging:logging_middleware:12 - POST /orders/ | 401 | 0.0015s
2026-03-13 23:30:37.258 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.3998s
2026-03-13 23:30:37.658 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3974s
2026-03-13 23:30:38.280 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.3985s
2026-03-13 23:30:38.680 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3974s
2026-03-13 23:30:39.470 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4739s
2026-03-13 23:30:39.873 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4006s
2026-03-13 23:30:40.922 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.4007s
2026-03-13 23:30:41.327 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.4035s
2026-03-13 23:30:42.779 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 400 | 0.4261s
2026-03-13 23:30:43.181 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/login | 200 | 0.3993s
2026-03-13 23:30:43.409 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0019s
2026-03-13 23:30:43.424 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0016s
2026-03-13 23:30:43.454 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/1 | 200 | 0.002s
2026-03-13 23:30:43.462 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/999 | 404 | 0.0017s
2026-03-13 23:30:43.472 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0029s
2026-03-13 23:30:43.482 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0024s
2026-03-13 23:30:43.486 | INFO     | app.middleware.logging:logging_middleware:12 - GET /products/ | 200 | 0.0016s
2026-03-13 23:31:57.966 | INFO     | app.middleware.logging:logging_middleware:12 - POST /auth/register | 200 | 0.4451s
